Precision: 14, Step Size: 128, Epsilon: 4, Iteration: 12, Optimum: 5179
Precision: 14, Step Size: 128, Epsilon: 8, Iteration: 11, Optimum: 5175
Precision: 14, Step Size: 128, Epsilon: 16, Iteration: 10, Optimum: 5167
Precision: 14, Step Size: 128, Epsilon: 32, Iteration: 9, Optimum: 5155
Precision: 14, Step Size: 128, Epsilon: 64, Iteration: 7, Optimum: 5103
Precision: 15, Step Size: 2, Epsilon: 1, Iteration: 1031, Optimum: 11259
Precision: 15, Step Size: 4, Epsilon: 1, Iteration: 573, Optimum: 10998
Precision: 15, Step Size: 4, Epsilon: 2, Iteration: 447, Optimum: 10747
Precision: 15, Step Size: 8, Epsilon: 1, Iteration: 347, Optimum: 10987
Precision: 15, Step Size: 8, Epsilon: 2, Iteration: 283, Optimum: 10860
Precision: 15, Step Size: 8, Epsilon: 4, Iteration: 243, Optimum: 10739
Precision: 15, Step Size: 16, Epsilon: 1, Iteration: 184, Optimum: 10901
Precision: 15, Step Size: 16, Epsilon: 2, Iteration: 158, Optimum: 10850
Precision: 15, Step Size: 16, Epsilon: 4, Iteration: 138, Optimum: 10776
Precision: 15, Step Size: 16, Epsilon: 8, Iteration: 128, Optimum: 10718
Precision: 15, Step Size: 32, Epsilon: 1, Iteration: 98, Optimum: 10859
Precision: 15, Step Size: 32, Epsilon: 2, Iteration: 97, Optimum: 10858
Precision: 15, Step Size: 32, Epsilon: 4, Iteration: 85, Optimum: 10822
Precision: 15, Step Size: 32, Epsilon: 8, Iteration: 74, Optimum: 10763
Precision: 15, Step Size: 32, Epsilon: 16, Iteration: 62, Optimum: 10629
Precision: 15, Step Size: 64, Epsilon: 1, Iteration: 54, Optimum: 10788
Precision: 15, Step Size: 64, Epsilon: 2, Iteration: 51, Optimum: 10783
Precision: 15, Step Size: 64, Epsilon: 4, Iteration: 48, Optimum: 10775
Precision: 15, Step Size: 64, Epsilon: 8, Iteration: 42, Optimum: 10744
Precision: 15, Step Size: 64, Epsilon: 16, Iteration: 36, Optimum: 10678
Precision: 15, Step Size: 64, Epsilon: 32, Iteration: 31, Optimum: 10573
Precision: 15, Step Size: 128, Epsilon: 1, Iteration: 32, Optimum: 10657
