2330,2214,2197
2196,2140,2241
2243,2227,2217
2217,2193,2156
2292,2335,2204
2214,2218,2192
2156,2280,2298
2340,2236,2245
2283,2316,2173
2342,2243,2223
2245,2249,2252
2278,2322,2197
2197,2186,2129
2241,2241,2220
2219,2205,2178
2125,2219,2183
2112,2186,2117
2183,2115,2170
2304,2124,2202
2207,2159,2284
2329,2202,2189
2190,2138,2245
2250,2237,2241
2251,2258,2272
2300,2350,2246
2282,2346,2235
2262,2319,2188
2164,2323,2185
2129,2259,2263
2259,2283,2318
2193,2157,2301
2352,2228,2230
2272,2294,2345
2263,2311,2201
2194,2170,2301
2342,2213,2201
2200,2138,2238
2236,2203,2171
2332,2211,2169
2355,2257,2262
2327,2212,2188
2166,2288,2303
2345,2247,2263
2325,2202,2175
2364,2268,2280
2361,2282,2330
2247,2260,2295
2346,2230,2230
2254,2259,2269
2322,2204,2180
2164,2293,2333
2210,2196,2176
2103,2163,2273
2263,2270,2303
2383,2327,2223
2269,2330,2209
2199,2188,2125
2213,2168,2265
2282,2295,2341
2256,2283,2346
2256,2288,2356
2263,2301,2387
2320,2188,2165
2321,2171,2287
2366,2269,2316
2234,2241,2266
2286,2324
